_type,director,name,rating,star,year
ImdbItem,Jim Clark,Every Home Should Have One,5.1,"Marty Feldman,Judy Cornwell,Garry Miller,Shelley Berman",1970
ImdbItem,JesÃºs Franco,Count Dracula,5.8,"Christopher Lee,Herbert Lom,Klaus Kinski,Maria Rohm",1970
ImdbItem,Alan Gibson,Crescendo,5.2,"Stefanie Powers,James Olson,Margaretta Scott,Jane Lapotaire",1970
ImdbItem,David Cronenberg,Crimes of the Future,5,"Ronald Mlodzik,Jon Lidolt,Tania Zolty,Paul Mulholland",1970
ImdbItem,Jerzy Skolimowski,The Adventures of Gerard,4.9,"Peter McEnery,Claudia Cardinale,Eli Wallach,Jack Hawkins",1970
ImdbItem,Sergio Sollima,Violent City,6.6,"Charles Bronson,Telly Savalas,Jill Ireland,Umberto Orsini",1970
ImdbItem,"Laurence Olivier,John Sichel",Three Sisters,6.6,"Jeanne Watts,Joan Plowright,Louise Purnell,Derek Jacobi",1970
ImdbItem,Michael Apted,7 Plus Seven,8,"Bruce Balden,Jacqueline Bassett,Symon Basterfield,Andrew Brackfield",1970
ImdbItem,Terence Young,Cold Sweat,5.9,"Charles Bronson,James Mason,Liv Ullmann,Jill Ireland",1970
ImdbItem,Vincent Patouillard,The Longest Most Meaningless Movie in the World,5.9,,1970
ImdbItem,Norman Earl Thomson,Venus Flytrap,2.8,"James Craig,Tota Kondo,Lawrence O'Neill,Al Ricketts",1970
ImdbItem,John Hayes,Dream No Evil,4.5,"Edmond O'Brien,Brooke Mills,Marc Lawrence,Michael Pataki",1970
ImdbItem,Jack Chambers,The Hart of London,6.9,,1970
ImdbItem,Jacques Tati,Trafic,7.2,"Jacques Tati,Marcel Fraval,HonorÃ© Bostel,FranÃ§ois Maisongrosse",1971
ImdbItem,Andrew Sinclair,Under Milk Wood,6.2,"Richard Burton,Elizabeth Taylor,Peter O'Toole,Glynis Johns",1971
ImdbItem,"Mel Welles,Aureliano Luppi",Lady Frankenstein,5,"Joseph Cotten,Rosalba Neri,Paul Muller,Peter Whiteman",1971
ImdbItem,"Wei Lo,Chia-Hsiang Wu",The Big Boss,7.1,"Bruce Lee,Maria Yi,James Tien,Marilyn Bautista",1971
ImdbItem,Terence Young,Die Valachi-Papiere,6.6,"Charles Bronson,Lino Ventura,Jill Ireland,Walter Chiari",1972
ImdbItem,Vernon Zimmerman,Deadhead Miles,5.6,"Alan Arkin,Paul Benedict,Hector Elizondo,Oliver Clark",1972
ImdbItem,Lina WertmÃ_ller,The Seduction of Mimi,7.5,"Giancarlo Giannini,Mariangela Melato,Turi Ferro,Agostina Belli",1972
ImdbItem,Jan Troell,Das neue Land,8,"Max von Sydow,Liv Ullmann,Eddie Axberg,Pierre Lindstedt",1972
ImdbItem,Sergio Martino,Die Farben der Nacht,6.7,"George Hilton,Edwige Fenech,Ivan Rassimov,JuliÃ¡n Ugarte",1972
ImdbItem,Charlton Heston,Antony and Cleopatra,5.9,"Charlton Heston,Hildegard Neil,Eric Porter,John Castle",1972
ImdbItem,Franco Zeffirelli,"Brother Sun, Sister Moon",7.2,"Graham Faulkner,Judi Bowker,Leigh Lawson,Kenneth Cranham",1972
ImdbItem,Massimo Dallamano,What Have You Done to Solange?,7,"Fabio Testi,Cristina GalbÃ_,Karin Baal,Joachim Fuchsberger",1972
ImdbItem,Amando de Ossorio,Tombs of the Blind Dead,6.2,"Lone Fleming,CÃ©sar Burner,MarÃ_a Elena ArpÃ_n,JosÃ© Thelman",1972
